"Name","Child Poverty by Race/Ethnicity"
"Description","Children under 18 years in households with incomes below the Federal Poverty Level (FPL) by race and ethnicity. Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Latino = Latino of any race. Due to small sample sizes in smaller geographies, data are presented in 3-year averages; 2019 = 2017-2019 3-year average."
St. George,White,2015,Percent,0.13082,501
St. George,Black,2015,Percent,0.39365,501
St. George,Asian,2015,Percent,0.17276,501
St. George,Latino,2015,Percent,0.38632,501
South Beach,White,2015,Percent,0.09332,502
South Beach,Black,2015,Percent,0.45015,502
South Beach,Asian,2015,Percent,0.29755,502
South Beach,Latino,2015,Percent,0.20922,502
Tottenville,White,2015,Percent,0.08922,503
Tottenville,Black,2015,Percent,,503
Tottenville,Asian,2015,Percent,0.07659,503
Tottenville,Latino,2015,Percent,0.15378,503
Bronx,White,2015,Percent,0.18906,36005
Bronx,Black,2015,Percent,0.37687,36005
Bronx,Asian,2015,Percent,0.33157,36005
Bronx,Latino,2015,Percent,0.47187,36005
Brooklyn,White,2015,Percent,0.29338,36047
Brooklyn,Black,2015,Percent,0.30799,36047
Brooklyn,Asian,2015,Percent,0.3119,36047
Brooklyn,Latino,2015,Percent,0.40418,36047
Manhattan,White,2015,Percent,0.04975,36061
Manhattan,Black,2015,Percent,0.44651,36061
Manhattan,Asian,2015,Percent,0.24304,36061
Manhattan,Latino,2015,Percent,0.37105,36061
Queens,White,2015,Percent,0.10643,36081
Queens,Black,2015,Percent,0.19714,36081
Queens,Asian,2015,Percent,0.20136,36081
Queens,Latino,2015,Percent,0.25969,36081
Staten Island,White,2015,Percent,0.09894,36085
Staten Island,Black,2015,Percent,0.39232,36085
Staten Island,Asian,2015,Percent,0.20496,36085
Staten Island,Latino,2015,Percent,0.30099,36085
New York City,White,2015,Percent,0.18342,3651000
New York City,Black,2015,Percent,0.3159,3651000
New York City,Asian,2015,Percent,0.24614,3651000
New York City,Latino,2015,Percent,0.3818,3651000
Battery Park/Tribeca,White,2016,Number,170.42211,101
Battery Park/Tribeca,Black,2016,Number,0,101
Battery Park/Tribeca,Asian,2016,Number,89.24949,101
Battery Park/Tribeca,Latino,2016,Number,27.86523,101
Greenwich Village,White,2016,Number,251.57789,102
Greenwich Village,Black,2016,Number,0,102
Greenwich Village,Asian,2016,Number,131.75051,102
Greenwich Village,Latino,2016,Number,41.13477,102
Lower East Side,White,2016,Number,153,103
Lower East Side,Black,2016,Number,771,103
Lower East Side,Asian,2016,Number,2094,103
Lower East Side,Latino,2016,Number,3302,103
Chelsea/Clinton,White,2016,Number,261.24814,104
Chelsea/Clinton,Black,2016,Number,509.1673,104
Chelsea/Clinton,Asian,2016,Number,67.97783,104
Chelsea/Clinton,Latino,2016,Number,325.89373,104
Midtown Business District,White,2016,Number,130.75186,105
Midtown Business District,Black,2016,Number,254.8327,105
Midtown Business District,Asian,2016,Number,34.02217,105
Midtown Business District,Latino,2016,Number,163.10627,105
Murray Hill/Stuyvesant,White,2016,Number,164,106
Murray Hill/Stuyvesant,Black,2016,Number,0,106
Murray Hill/Stuyvesant,Asian,2016,Number,386,106
Murray Hill/Stuyvesant,Latino,2016,Number,0,106
Upper West Side,White,2016,Number,629,107
Upper West Side,Black,2016,Number,696,107
Upper West Side,Asian,2016,Number,272,107
Upper West Side,Latino,2016,Number,970,107
Upper East Side,White,2016,Number,1272,108
Upper East Side,Black,2016,Number,0,108
Upper East Side,Asian,2016,Number,38,108
Upper East Side,Latino,2016,Number,315,108
Manhattanville,White,2016,Number,262,109
Manhattanville,Black,2016,Number,1923,109
Manhattanville,Asian,2016,Number,46,109
Manhattanville,Latino,2016,Number,4514,109
Central Harlem,White,2016,Number,301,110
Central Harlem,Black,2016,Number,6280,110
Central Harlem,Asian,2016,Number,173,110
Central Harlem,Latino,2016,Number,3741,110
East Harlem,White,2016,Number,105,111
East Harlem,Black,2016,Number,4314,111
East Harlem,Asian,2016,Number,518,111
East Harlem,Latino,2016,Number,7907,111
Washington Heights,White,2016,Number,676,112
Washington Heights,Black,2016,Number,2138,112
Washington Heights,Asian,2016,Number,53,112
Washington Heights,Latino,2016,Number,10648,112
Mott Haven,White,2016,Number,235.51679,201
Mott Haven,Black,2016,Number,3882.20785,201
Mott Haven,Asian,2016,Number,17.18636,201
Mott Haven,Latino,2016,Number,9647.27696,201
Hunts Point,White,2016,Number,134.48321,202
Hunts Point,Black,2016,Number,2216.79215,202
Hunts Point,Asian,2016,Number,9.81364,202
Hunts Point,Latino,2016,Number,5508.72304,202
Morrisania,White,2016,Number,215.26885,203
Morrisania,Black,2016,Number,3303.88754,203
Morrisania,Asian,2016,Number,47.457,203
Morrisania,Latino,2016,Number,8006.53334,203
Concourse/Highbridge,White,2016,Number,399,204
Concourse/Highbridge,Black,2016,Number,4493,204
Concourse/Highbridge,Asian,2016,Number,126,204
Concourse/Highbridge,Latino,2016,Number,15083,204
University Heights,White,2016,Number,333,205
University Heights,Black,2016,Number,4898,205
University Heights,Asian,2016,Number,153,205
University Heights,Latino,2016,Number,16173,205
East Tremont,White,2016,Number,224.73115,206
East Tremont,Black,2016,Number,3449.11246,206
East Tremont,Asian,2016,Number,49.543,206
East Tremont,Latino,2016,Number,8358.46666,206
Bedford Park,White,2016,Number,511,207
Bedford Park,Black,2016,Number,1076,207
Bedford Park,Asian,2016,Number,1197,207
Bedford Park,Latino,2016,Number,11576,207
Riverdale,White,2016,Number,662,208
Riverdale,Black,2016,Number,1078,208
Riverdale,Asian,2016,Number,107,208
Riverdale,Latino,2016,Number,4797,208
Unionport/Soundview,White,2016,Number,906,209
Unionport/Soundview,Black,2016,Number,4624,209
Unionport/Soundview,Asian,2016,Number,1040,209
Unionport/Soundview,Latino,2016,Number,11504,209
Throgs Neck,White,2016,Number,146,210
Throgs Neck,Black,2016,Number,1673,210
Throgs Neck,Asian,2016,Number,39,210
Throgs Neck,Latino,2016,Number,2353,210
Pelham Parkway,White,2016,Number,1491,211
Pelham Parkway,Black,2016,Number,1422,211
Pelham Parkway,Asian,2016,Number,419,211
Pelham Parkway,Latino,2016,Number,4908,211
Williamsbridge,White,2016,Number,250,212
Williamsbridge,Black,2016,Number,4655,212
Williamsbridge,Asian,2016,Number,432,212
Williamsbridge,Latino,2016,Number,4082,212
Williamsburg/Greenpoint,White,2016,Number,9257,301
Williamsburg/Greenpoint,Black,2016,Number,600,301
Williamsburg/Greenpoint,Asian,2016,Number,185,301
Williamsburg/Greenpoint,Latino,2016,Number,2000,301
Fort Greene/Brooklyn Hts,White,2016,Number,1868,302
Fort Greene/Brooklyn Hts,Black,2016,Number,1274,302
Fort Greene/Brooklyn Hts,Asian,2016,Number,397,302
Fort Greene/Brooklyn Hts,Latino,2016,Number,1416,302
Bedford Stuyvesant,White,2016,Number,7152,303
Bedford Stuyvesant,Black,2016,Number,4538,303
Bedford Stuyvesant,Asian,2016,Number,417,303
Bedford Stuyvesant,Latino,2016,Number,3264,303
Bushwick,White,2016,Number,20,304
Bushwick,Black,2016,Number,2383,304
Bushwick,Asian,2016,Number,388,304
Bushwick,Latino,2016,Number,8123,304
East New York,White,2016,Number,230,305
East New York,Black,2016,Number,6495,305
East New York,Asian,2016,Number,671,305
East New York,Latino,2016,Number,7244,305
Park Slope,White,2016,Number,440,306
Park Slope,Black,2016,Number,574,306
Park Slope,Asian,2016,Number,31,306
Park Slope,Latino,2016,Number,925,306
Sunset Park,White,2016,Number,1951,307
Sunset Park,Black,2016,Number,127,307
Sunset Park,Asian,2016,Number,5045,307
Sunset Park,Latino,2016,Number,7286,307
Crown Heights North,White,2016,Number,342,308
Crown Heights North,Black,2016,Number,5480,308
Crown Heights North,Asian,2016,Number,319,308
Crown Heights North,Latino,2016,Number,2371,308
Crown Heights South,White,2016,Number,2397,309
Crown Heights South,Black,2016,Number,2511,309
Crown Heights South,Asian,2016,Number,0,309
Crown Heights South,Latino,2016,Number,378,309
Bay Ridge,White,2016,Number,2405,310
Bay Ridge,Black,2016,Number,20,310
Bay Ridge,Asian,2016,Number,1364,310
Bay Ridge,Latino,2016,Number,1599,310
Bensonhurst,White,2016,Number,2978,311
Bensonhurst,Black,2016,Number,248,311
Bensonhurst,Asian,2016,Number,2472,311
Bensonhurst,Latino,2016,Number,3037,311
Borough Park,White,2016,Number,19876,312
Borough Park,Black,2016,Number,211,312
Borough Park,Asian,2016,Number,2163,312
Borough Park,Latino,2016,Number,2276,312
Coney Island,White,2016,Number,2617,313
Coney Island,Black,2016,Number,1302,313
Coney Island,Asian,2016,Number,1306,313
Coney Island,Latino,2016,Number,2765,313
Flatbush/Midwood,White,2016,Number,3549,314
Flatbush/Midwood,Black,2016,Number,2557,314
Flatbush/Midwood,Asian,2016,Number,2210,314
Flatbush/Midwood,Latino,2016,Number,2229,314
Sheepshead Bay,White,2016,Number,3814,315
Sheepshead Bay,Black,2016,Number,179,315
Sheepshead Bay,Asian,2016,Number,1055,315
Sheepshead Bay,Latino,2016,Number,1441,315
Brownsville,White,2016,Number,306,316
Brownsville,Black,2016,Number,7974,316
Brownsville,Asian,2016,Number,255,316
Brownsville,Latino,2016,Number,4634,316
East Flatbush,White,2016,Number,746,317
East Flatbush,Black,2016,Number,4983,317
East Flatbush,Asian,2016,Number,123,317
East Flatbush,Latino,2016,Number,878,317
Canarsie,White,2016,Number,1202,318
Canarsie,Black,2016,Number,4683,318
Canarsie,Asian,2016,Number,310,318
Canarsie,Latino,2016,Number,1172,318
Astoria,White,2016,Number,1158,401
Astoria,Black,2016,Number,1404,401
Astoria,Asian,2016,Number,1190,401
Astoria,Latino,2016,Number,2350,401
Sunnyside/Woodside,White,2016,Number,229,402
Sunnyside/Woodside,Black,2016,Number,0,402
Sunnyside/Woodside,Asian,2016,Number,1899,402
Sunnyside/Woodside,Latino,2016,Number,2022,402
Jackson Heights,White,2016,Number,349,403
Jackson Heights,Black,2016,Number,148,403
Jackson Heights,Asian,2016,Number,751,403
Jackson Heights,Latino,2016,Number,7205,403
Elmhurst/Corona,White,2016,Number,59,404
Elmhurst/Corona,Black,2016,Number,571,404
Elmhurst/Corona,Asian,2016,Number,2454,404
Elmhurst/Corona,Latino,2016,Number,5693,404
Ridgewood/Glendale,White,2016,Number,1119,405
Ridgewood/Glendale,Black,2016,Number,0,405
Ridgewood/Glendale,Asian,2016,Number,335,405
Ridgewood/Glendale,Latino,2016,Number,3745,405
Rego Park/Forest Hills,White,2016,Number,1570,406
Rego Park/Forest Hills,Black,2016,Number,0,406
Rego Park/Forest Hills,Asian,2016,Number,559,406
Rego Park/Forest Hills,Latino,2016,Number,268,406
Flushing,White,2016,Number,629,407
Flushing,Black,2016,Number,166,407
Flushing,Asian,2016,Number,4757,407
Flushing,Latino,2016,Number,1267,407
Fresh Meadows/Briarwood,White,2016,Number,1060,408
Fresh Meadows/Briarwood,Black,2016,Number,386,408
Fresh Meadows/Briarwood,Asian,2016,Number,917,408
Fresh Meadows/Briarwood,Latino,2016,Number,1437,408
Woodhaven,White,2016,Number,527,409
Woodhaven,Black,2016,Number,121,409
Woodhaven,Asian,2016,Number,1951,409
Woodhaven,Latino,2016,Number,4052,409
Howard Beach,White,2016,Number,621,410
Howard Beach,Black,2016,Number,563,410
Howard Beach,Asian,2016,Number,2017,410
Howard Beach,Latino,2016,Number,2676,410
Bayside,White,2016,Number,531,411
Bayside,Black,2016,Number,0,411
Bayside,Asian,2016,Number,1048,411
Bayside,Latino,2016,Number,271,411
Jamaica/St. Albans,White,2016,Number,55,412
Jamaica/St. Albans,Black,2016,Number,4383,412
Jamaica/St. Albans,Asian,2016,Number,1501,412
Jamaica/St. Albans,Latino,2016,Number,3136,412
Queens Village,White,2016,Number,215,413
Queens Village,Black,2016,Number,2517,413
Queens Village,Asian,2016,Number,622,413
Queens Village,Latino,2016,Number,838,413
The Rockaways,White,2016,Number,818,414
The Rockaways,Black,2016,Number,4636,414
The Rockaways,Asian,2016,Number,0,414
The Rockaways,Latino,2016,Number,2913,414
St. George,White,2016,Number,953,501
St. George,Black,2016,Number,3778,501
St. George,Asian,2016,Number,578,501
St. George,Latino,2016,Number,6313,501
South Beach,White,2016,Number,1196,502
South Beach,Black,2016,Number,402,502
South Beach,Asian,2016,Number,794,502
South Beach,Latino,2016,Number,1228,502
Tottenville,White,2016,Number,2204,503
Tottenville,Black,2016,Number,0,503
Tottenville,Asian,2016,Number,59,503
Tottenville,Latino,2016,Number,965,503
Bronx,White,2016,Number,5508,36005
Bronx,Black,2016,Number,36771,36005
Bronx,Asian,2016,Number,3637,36005
Bronx,Latino,2016,Number,101997,36005
Brooklyn,White,2016,Number,61150,36047
Brooklyn,Black,2016,Number,46138,36047
Brooklyn,Asian,2016,Number,18712,36047
Brooklyn,Latino,2016,Number,53036,36047
Manhattan,White,2016,Number,4376,36061
Manhattan,Black,2016,Number,16886,36061
Manhattan,Asian,2016,Number,3903,36061
Manhattan,Latino,2016,Number,31956,36061
Queens,White,2016,Number,8940,36081
Queens,Black,2016,Number,14896,36081
Queens,Asian,2016,Number,20002,36081
Queens,Latino,2016,Number,37874,36081
Staten Island,White,2016,Number,4353,36085
Staten Island,Black,2016,Number,4180,36085
Staten Island,Asian,2016,Number,1431,36085
Staten Island,Latino,2016,Number,8506,36085
New York City,White,2016,Number,84327,3651000
New York City,Black,2016,Number,118871,3651000
New York City,Asian,2016,Number,47685,3651000
New York City,Latino,2016,Number,233369,3651000
Battery Park/Tribeca,White,2016,Percent,0.03162,101
Battery Park/Tribeca,Black,2016,Percent,,101
Battery Park/Tribeca,Asian,2016,Percent,0.08448,101
Battery Park/Tribeca,Latino,2016,Percent,0.04826,101
Greenwich Village,White,2016,Percent,0.03162,102
Greenwich Village,Black,2016,Percent,,102
Greenwich Village,Asian,2016,Percent,0.08448,102
Greenwich Village,Latino,2016,Percent,0.04826,102
Lower East Side,White,2016,Percent,0.05193,103
Lower East Side,Black,2016,Percent,0.40794,103
Lower East Side,Asian,2016,Percent,0.3932,103
Lower East Side,Latino,2016,Percent,0.51104,103
Chelsea/Clinton,White,2016,Percent,0.0683,104
Chelsea/Clinton,Black,2016,Percent,0.59568,104
Chelsea/Clinton,Asian,2016,Percent,0.06021,104
Chelsea/Clinton,Latino,2016,Percent,0.20307,104
Midtown Business District,White,2016,Percent,0.0683,105
Midtown Business District,Black,2016,Percent,0.59568,105
Midtown Business District,Asian,2016,Percent,0.06021,105
Midtown Business District,Latino,2016,Percent,0.20307,105
Murray Hill/Stuyvesant,White,2016,Percent,0.02274,106
Murray Hill/Stuyvesant,Black,2016,Percent,,106
Murray Hill/Stuyvesant,Asian,2016,Percent,0.20288,106
Murray Hill/Stuyvesant,Latino,2016,Percent,,106
Upper West Side,White,2016,Percent,0.03737,107
Upper West Side,Black,2016,Percent,0.86103,107
Upper West Side,Asian,2016,Percent,0.11752,107
Upper West Side,Latino,2016,Percent,0.23064,107
Upper East Side,White,2016,Percent,0.05646,108
Upper East Side,Black,2016,Percent,,108
Upper East Side,Asian,2016,Percent,0.01132,108
Upper East Side,Latino,2016,Percent,0.0579,108
Manhattanville,White,2016,Percent,0.06426,109
Manhattanville,Black,2016,Percent,0.48156,109
Manhattanville,Asian,2016,Percent,0.08668,109
Manhattanville,Latino,2016,Percent,0.42024,109
Central Harlem,White,2016,Percent,0.10858,110
Central Harlem,Black,2016,Percent,0.42344,110
Central Harlem,Asian,2016,Percent,0.25784,110
Central Harlem,Latino,2016,Percent,0.39077,110
East Harlem,White,2016,Percent,0.06389,111
East Harlem,Black,2016,Percent,0.48165,111
East Harlem,Asian,2016,Percent,0.37795,111
East Harlem,Latino,2016,Percent,0.55797,111
Washington Heights,White,2016,Percent,0.16057,112
Washington Heights,Black,2016,Percent,0.6127,112
Washington Heights,Asian,2016,Percent,0.29775,112
Washington Heights,Latino,2016,Percent,0.351,112
Mott Haven,White,2016,Percent,0.8468,201
Mott Haven,Black,2016,Percent,0.42736,201
Mott Haven,Asian,2016,Percent,0.11681,201
Mott Haven,Latino,2016,Percent,0.49673,201
Hunts Point,White,2016,Percent,0.8468,202
Hunts Point,Black,2016,Percent,0.42736,202
Hunts Point,Asian,2016,Percent,0.11681,202
Hunts Point,Latino,2016,Percent,0.49673,202
Morrisania,White,2016,Percent,0.57964,203
Morrisania,Black,2016,Percent,0.51193,203
Morrisania,Asian,2016,Percent,0.42151,203
Morrisania,Latino,2016,Percent,0.5059,203
Concourse/Highbridge,White,2016,Percent,0.47939,204
Concourse/Highbridge,Black,2016,Percent,0.38499,204
Concourse/Highbridge,Asian,2016,Percent,0.25765,204
Concourse/Highbridge,Latino,2016,Percent,0.55151,204
University Heights,White,2016,Percent,0.67799,205
University Heights,Black,2016,Percent,0.48664,205
University Heights,Asian,2016,Percent,0.82406,205
University Heights,Latino,2016,Percent,0.61181,205
East Tremont,White,2016,Percent,0.57964,206
East Tremont,Black,2016,Percent,0.51193,206
East Tremont,Asian,2016,Percent,0.42151,206
East Tremont,Latino,2016,Percent,0.5059,206
Bedford Park,White,2016,Percent,0.21709,207
Bedford Park,Black,2016,Percent,0.32142,207
Bedford Park,Asian,2016,Percent,0.65102,207
Bedford Park,Latino,2016,Percent,0.43836,207
Riverdale,White,2016,Percent,0.10721,208
Riverdale,Black,2016,Percent,0.42319,208
Riverdale,Asian,2016,Percent,0.1911,208
Riverdale,Latino,2016,Percent,0.3738,208
Unionport/Soundview,White,2016,Percent,0.68748,209
Unionport/Soundview,Black,2016,Percent,0.37673,209
Unionport/Soundview,Asian,2016,Percent,0.28339,209
Unionport/Soundview,Latino,2016,Percent,0.44044,209
Throgs Neck,White,2016,Percent,0.03617,210
Throgs Neck,Black,2016,Percent,0.25148,210
Throgs Neck,Asian,2016,Percent,0.10985,210
Throgs Neck,Latino,2016,Percent,0.2228,210
Pelham Parkway,White,2016,Percent,0.25953,211
Pelham Parkway,Black,2016,Percent,0.27452,211
Pelham Parkway,Asian,2016,Percent,0.17788,211
Pelham Parkway,Latino,2016,Percent,0.31159,211
Williamsbridge,White,2016,Percent,0.13561,212
Williamsbridge,Black,2016,Percent,0.22646,212
Williamsbridge,Asian,2016,Percent,0.43873,212
Williamsbridge,Latino,2016,Percent,0.48253,212
Williamsburg/Greenpoint,White,2016,Percent,0.40381,301
Williamsburg/Greenpoint,Black,2016,Percent,0.58078,301
Williamsburg/Greenpoint,Asian,2016,Percent,0.17386,301
Williamsburg/Greenpoint,Latino,2016,Percent,0.25947,301
Fort Greene/Brooklyn Hts,White,2016,Percent,0.18514,302
Fort Greene/Brooklyn Hts,Black,2016,Percent,0.20673,302
Fort Greene/Brooklyn Hts,Asian,2016,Percent,0.19611,302
Fort Greene/Brooklyn Hts,Latino,2016,Percent,0.37674,302
Bedford Stuyvesant,White,2016,Percent,0.59254,303
Bedford Stuyvesant,Black,2016,Percent,0.29626,303
Bedford Stuyvesant,Asian,2016,Percent,0.38156,303
Bedford Stuyvesant,Latino,2016,Percent,0.47504,303
Bushwick,White,2016,Percent,0.02256,304
Bushwick,Black,2016,Percent,0.46311,304
Bushwick,Asian,2016,Percent,0.41886,304
Bushwick,Latino,2016,Percent,0.41229,304
East New York,White,2016,Percent,0.26901,305
East New York,Black,2016,Percent,0.33543,305
East New York,Asian,2016,Percent,0.41859,305
East New York,Latino,2016,Percent,0.4198,305
Park Slope,White,2016,Percent,0.02876,306
Park Slope,Black,2016,Percent,0.28208,306
Park Slope,Asian,2016,Percent,0.04892,306
Park Slope,Latino,2016,Percent,0.23012,306
Sunset Park,White,2016,Percent,0.27096,307
Sunset Park,Black,2016,Percent,0.30142,307
Sunset Park,Asian,2016,Percent,0.42668,307
Sunset Park,Latino,2016,Percent,0.46359,307
Crown Heights North,White,2016,Percent,0.0957,308
Crown Heights North,Black,2016,Percent,0.34683,308
Crown Heights North,Asian,2016,Percent,0.48212,308
Crown Heights North,Latino,2016,Percent,0.57369,308
Crown Heights South,White,2016,Percent,0.40312,309
Crown Heights South,Black,2016,Percent,0.16291,309
Crown Heights South,Asian,2016,Percent,,309
Crown Heights South,Latino,2016,Percent,0.19306,309
Bay Ridge,White,2016,Percent,0.21809,310
Bay Ridge,Black,2016,Percent,0.09554,310
Bay Ridge,Asian,2016,Percent,0.21696,310
Bay Ridge,Latino,2016,Percent,0.2936,310
Bensonhurst,White,2016,Percent,0.2358,311
Bensonhurst,Black,2016,Percent,0.6886,311
Bensonhurst,Asian,2016,Percent,0.15651,311
Bensonhurst,Latino,2016,Percent,0.32177,311
Borough Park,White,2016,Percent,0.42733,312
Borough Park,Black,2016,Percent,0.39061,312
Borough Park,Asian,2016,Percent,0.38001,312
Borough Park,Latino,2016,Percent,0.48946,312
Coney Island,White,2016,Percent,0.27804,313
